,image_name,rotation_matrix,translation_vector,calibration_matrix,dataset,scene
2052,00002.png,-0.42251199244550386;-0.3181546958925068;-0.848682040414004;0.29416184297052517;0.8375422948399467;-0.4604255797568374;0.8572936640264611;-0.4441852021801067;-0.26028269205673893,19.44491724880328;18.830988686540874;76.71971801033199,735.1082426934227;0.0;512.0;0.0;735.1082426934227;384.0;0.0;0.0;1.0,church,church
2053,00099.png,0.3322963682333523;0.3743573362076198;0.8656995486232274;-0.5022922590869969;0.8471098059372394;-0.17351502282584563;-0.7982991983712658;-0.3771757700495987;0.46952830411732027,-19.805597891713667;31.59270804202577;44.8687480172969,693.5585941383405;0.0;384.0;0.0;693.5585941383405;512.0;0.0;0.0;1.0,church,church
2054,00003.png,-0.25531384998391293;-0.3285838905163671;-0.9093115334688767;0.42348081894528494;0.8074661449144966;-0.4106853062898062;0.8691828541750136;-0.4899296395504657;-0.06700831514168937,32.94802561912933;25.14467822411084;69.9442877868716,392.56179261338275;0.0;384.0;0.0;392.56179261338275;512.0;0.0;0.0;1.0,church,church
2055,00100.png,0.3089279370735053;0.3943117230219988;0.8654951154009656;-0.3811925299169281;0.8850524683569005;-0.2671598461425095;-0.8713528474912102;-0.24738713253275718;0.4237261165259699,-22.473719079033472;24.205597763063277;48.47011358409431,699.0965333298144;0.0;384.0;0.0;699.0965333298144;512.0;0.0;0.0;1.0,church,church
2056,00004.png,-0.5154160759577633;-0.31189732411191673;-0.7981643489007312;0.25961343942306025;0.830808171333936;-0.492299344419318;0.8166683113205943;-0.4609531881401703;-0.34723915048303877,16.98891618235028;17.363415536145688;75.3406701654915,684.4285251419657;0.0;384.0;0.0;684.4285251419657;512.0;0.0;0.0;1.0,church,church
2057,00101.png,0.5862515261637957;0.3090953669442748;0.7488452458313429;-0.12308197433114348;0.9476056323017921;-0.29477854946496446;-0.8007246565863749;0.0806450231787732;0.5935793161584448,-38.82466909409082;9.05004388938583;42.60073385414094,1377.1298289844772;0.0;384.0;0.0;1377.1298289844772;512.0;0.0;0.0;1.0,church,church
2058,00005.png,-0.5496164693536723;-0.284201832943597;-0.7855896223644403;0.39715902964535066;0.7384076194052409;-0.5449943970128943;0.7349737694546437;-0.611541908421479;-0.2929676645260497,13.708243973031008;30.23937437293598;72.01223256416161,386.5113931751546;0.0;384.0;0.0;386.5113931751546;512.0;0.0;0.0;1.0,church,church
2059,00102.png,0.7657088278404915;0.27128606584928694;0.5831756694540308;-0.10887701501027872;0.9482817862412654;-0.29817352244209505;-0.6339051873660541;0.16481967224543126;0.7556445520688392,-45.07028065972765;9.038117780825143;35.73903085724947,2208.4999320416437;0.0;384.0;0.0;2208.4999320416437;512.0;0.0;0.0;1.0,church,church
2060,00006.png,-0.27339640369488727;-0.4960815725341004;-0.8241101139039593;0.2322859081028062;0.7973456476444869;-0.5570306769642481;0.9334332666792828;-0.34371935001464204;-0.10275867399862193,31.80778745504346;20.23740280732015;71.90838267649599,738.2896550144395;0.0;384.0;0.0;738.2896550144395;512.0;0.0;0.0;1.0,church,church
2061,00103.png,0.5962558476883101;0.3164780398849038;0.7377808715113886;-0.3080418369730829;0.9388617268526431;-0.1537819382291742;-0.7413428294465007;-0.1355739950059826;0.6572902715744197,-20.531774941545763;26.39005380249548;54.671121479562025,732.7691869536582;0.0;384.0;0.0;732.7691869536582;512.0;0.0;0.0;1.0,church,church
2062,00007.png,-0.2940705790387015;-0.36561325123736305;-0.8830908475708986;0.5884785868125648;0.6587878622599472;-0.46871260427052264;0.7531370707958346;-0.6575146409462026;0.021425441289659508,40.81234926681558;29.696277767841583;44.567370699714274,698.8489815942474;0.0;512.0;0.0;698.8489815942474;384.0;0.0;0.0;1.0,church,church
2063,00104.png,-0.37972417604868913;0.30370326950903387;0.873827142067393;-0.21694930861408826;0.88899966179857;-0.40325252486983537;-0.8993011440090654;-0.3427009270654972;-0.2716864497402023,12.566793771772776;15.191753036514594;55.46170238109914,2240.5846754166746;0.0;512.0;0.0;2240.5846754166746;384.0;0.0;0.0;1.0,church,church
2064,00008.png,-0.44971357625437647;-0.33623555290802987;-0.8274680370220542;0.323570028459069;0.8021760842446172;-0.5018126807375141;0.83250233393997;-0.4934158315524588;-0.2519537282079769,17.23602659920966;23.102044054517226;75.07233082390907,2164.6993031995917;0.0;384.0;0.0;2164.6993031995917;512.0;0.0;0.0;1.0,church,church
2065,00105.png,0.008291571527329178;0.3965855891592994;0.9179603043230022;-0.48231334077408217;0.8057374671542177;-0.3437455095492159;-0.87595952597877;-0.4398943105963947;0.19795935025143752,-10.705064200346799;30.00682022084199;49.10605982590964,693.4564253452515;0.0;512.0;0.0;693.4564253452515;384.0;0.0;0.0;1.0,church,church
2066,00009.png,-0.4858669066178263;-0.3113311498220127;-0.816704514622105;0.3015071102268142;0.8173516075491949;-0.49094787108146476;0.8203821131255242;-0.4847775415458624;-0.3032555418726086,19.55696859330432;20.08386355132299;74.05765242851963,2185.984951139413;0.0;384.0;0.0;2185.984951139413;512.0;0.0;0.0;1.0,church,church
2067,00106.png,0.7153024043921266;0.28593329206669227;0.6376398848556654;-0.22929479282413467;0.9579753820161144;-0.17235737708266763;-0.6601260245245447;-0.022919859052432337;0.7508051090705476,-30.670012102201344;19.706543944342464;47.98024734549844,388.0619815777668;0.0;384.0;0.0;388.0619815777668;512.0;0.0;0.0;1.0,church,church
2068,00010.png,-0.5199196021099126;-0.30985522224198414;-0.7960360221693744;0.26032862986192284;0.8300860608809263;-0.49313906355651965;0.8135801200964071;-0.463623632681249;-0.35091382902837864,16.564406474748694;17.47344165400385;75.43623729410027,1360.9282397460088;0.0;384.0;0.0;1360.9282397460088;512.0;0.0;0.0;1.0,church,church
2069,00107.png,0.448444103799156;0.3563241295600892;0.8197139747869477;-0.41147758008590196;0.8964394698594779;-0.16456754833413695;-0.793463349408416;-0.2634945759808029;0.5486223852289249,-18.548055010190723;29.452023360801665;50.08386664169125,743.7802141824266;0.0;384.0;0.0;743.7802141824266;512.0;0.0;0.0;1.0,church,church
2070,00011.png,-0.422747076932537;-0.338330246781646;-0.8407244215898969;0.33843022666396516;0.8016446836177851;-0.492778634792052;0.8406841800730959;-0.4928472839937458;-0.22439176463233945,27.773105439252546;21.02019717121849;67.09744874947172,2209.8841784185324;0.0;384.0;0.0;2209.8841784185324;512.0;0.0;0.0;1.0,church,church
2071,00108.png,0.4289533194794153;0.3444371978831068;0.8350820716684225;-0.3445208308616743;0.9169561418535246;-0.20123824442555785;-0.83504757158498;-0.2013813562163402;0.5119971704594618,-24.462740044485184;27.135960069416864;56.56843712119447,740.1029863124699;0.0;384.0;0.0;740.1029863124699;512.0;0.0;0.0;1.0,church,church
2072,00012.png,-0.48483417582157906;-0.30646821686858705;-0.8191538646706116;0.2786659221296812;0.8336548389842173;-0.4768279703224351;0.8290242009730624;-0.4594527630644823;-0.31878210852146016,24.60584432699671;13.414661500703362;57.924488182101996,2237.8220923527538;0.0;384.0;0.0;2237.8220923527538;512.0;0.0;0.0;1.0,church,church
2073,00109.png,0.13720291073440505;0.4230101642517032;0.8956772645466413;-0.4636147385382083;0.8264965148932157;-0.3193194091807091;-0.8753494933431765;-0.3714376284238249;0.3095114742537487,-12.424818057275301;32.02562983124994;53.74013443198121,743.6909492670976;0.0;384.0;0.0;743.6909492670976;512.0;0.0;0.0;1.0,church,church
2074,00013.png,-0.35123404464437735;-0.3695096832227965;-0.8602890443841188;0.2271593037403123;0.8577465779997513;-0.46116098995246035;0.9083134352231989;-0.35739810007092276;-0.2173322375045328,33.20290669350995;12.341836955071395;66.89262828378925,2215.998222158956;0.0;384.0;0.0;2215.998222158956;512.0;0.0;0.0;1.0,church,church
2075,00110.png,0.007957785583956434;0.41946761219829026;0.9077354217861419;-0.4940801507872928;0.7908663042563249;-0.36113057664776643;-0.8693799389487925;-0.44562025437429015;0.21354416556016476,-8.622819925342116;42.00927586233549;65.44275627852578,727.2778343084659;0.0;384.0;0.0;727.2778343084659;512.0;0.0;0.0;1.0,church,church
2076,00014.png,-0.26586088989612233;-0.3764407788947028;-0.8874741276278378;0.20287451987375588;0.8781403330085586;-0.43325683460230696;0.9424223662507355;-0.29523193514382423;-0.157092928108167,39.15414969822449;9.14581839491601;63.818523019422244,2201.7083194528823;0.0;384.0;0.0;2201.7083194528823;512.0;0.0;0.0;1.0,church,church
2077,00111.png,-0.018049501107115562;0.40600763053442734;0.913691424638321;-0.47979085925197484;0.7982316005790165;-0.36417995993095653;-0.8771972109440591;-0.44495406030834395;0.1803910677585856,-6.689763674933854;40.924721684303265;65.78443132491314,2146.125331734588;0.0;384.0;0.0;2146.125331734588;512.0;0.0;0.0;1.0,church,church
